Rank,Name,Platform,Year,Genre,Sales
1,Wii Sports,Wii,2006,Sports,3.77
2,Super Mario Bros.,NES,1985,Platform,6.81
3,Mario Kart Wii,Wii,2008,Racing,3.79
4,Wii Sports Resort,Wii,2009,Sports,3.28
5,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,10.22
6,Tetris,GB,1989,Puzzle,4.22
7,New Super Mario Bros.,DS,2006,Platform,6.5
8,Wii Play,Wii,2006,Misc,2.93
9,New Super Mario Bros. Wii,Wii,2009,Platform,4.7
10,Duck Hunt,NES,1984,Shooter,0.28
11,Nintendogs,DS,2005,Simulation,1.93
12,Mario Kart DS,DS,2005,Racing,4.13
13,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,7.2
14,Wii Fit,Wii,2007,Sports,3.6
15,Wii Fit Plus,Wii,2009,Sports,2.53
16,Super Mario World,SNES,1990,Platform,3.54
17,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,4.16
18,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,6.04
19,Super Mario Land,GB,1989,Platform,4.18
20,Super Mario Bros. 3,NES,1988,Platform,3.84
21,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,5.38
22,Pokemon Black/Pokemon White,DS,2010,Role-Playing,5.65
23,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,5.32
24,Pokemon Yellow: Special,GB,1998,Role-Playing,3.12
25,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,4.34
26,Super Smash Bros. Brawl,Wii,2008,Fighting,2.66
27,Animal Crossing: Wild World,DS,2005,Simulation,5.33
28,Mario Kart 7,3DS,2011,Racing,2.67
29,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,3.96
30,Super Mario 64,N64,1996,Platform,1.91
31,Super Mario Galaxy,Wii,2007,Platform,1.2
32,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,3.08
33,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,2.69
34,Super Mario 3D Land,3DS,2011,Platform,2.13
35,Super Mario All-Stars,SNES,1993,Platform,2.12
36,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,3.15
37,Super Mario 64,DS,2004,Platform,1.25
38,Mario Kart 64,N64,1996,Racing,2.23
39,New Super Mario Bros. 2,3DS,2012,Platform,2.47
40,Donkey Kong Country,SNES,1994,Platform,3
41,Animal Crossing: New Leaf,3DS,2012,Simulation,4.36
42,Mario Party DS,DS,2007,Misc,1.98
43,Super Mario Kart,SNES,1992,Racing,3.81
44,Wii Party,Wii,2010,Misc,2.49
45,Mario Party 8,Wii,2007,Misc,1.58
46,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,3.14
47,GoldenEye 007,N64,1997,Shooter,0.13
48,Pokemon Platinum Version,DS,2008,Role-Playing,2.69
49,Super Mario Galaxy 2,Wii,2010,Platform,0.98
50,The Legend of Zelda: Ocarina of Time,N64,1998,Action,1.45
51,Super Mario Bros. 2,NES,1988,Platform,0.7
52,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,2.42
53,The Legend of Zelda: Twilight Princess,Wii,2006,Action,0.6
54,Super Smash Bros. Melee,GC,2001,Fighting,1.39
55,Mario Kart 8,WiiU,2014,Racing,1.27
56,Mario Kart: Double Dash!!,GC,2003,Racing,0.87
57,Big Brain Academy,DS,2005,Misc,1.6
58,Donkey Kong Country Returns,Wii,2010,Platform,1.03
59,The Legend of Zelda,NES,1986,Action,1.69
60,Pokemon Emerald Version,GBA,2004,Role-Playing,2.06
61,Pokemon Crystal Version,GB,2000,Role-Playing,1.29
62,Super Mario Sunshine,GC,2002,Platform,0.87
63,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,4.35
64,Tetris,NES,1988,Puzzle,1.81
65,Super Smash Bros.,N64,1999,Fighting,1.97
66,Super Mario Advance,GBA,2001,Platform,0.91
67,Mario Kart: Super Circuit,GBA,2001,Racing,0.99
68,Super Mario World,GBA,2001,Platform,0.95
69,Pokemon Stadium,N64,1999,Strategy,0.94
70,Dr. Mario,GB,1989,Puzzle,2
71,Pokemon Pinball,GB,1999,Misc,1.01
72,Donkey Kong 64,N64,1999,Platform,1.09
73,Professor Layton and the Curious Village,DS,2007,Puzzle,1.03
74,Super Mario Bros. 3,GBA,2003,Platform,0.83
75,New Super Mario Bros. U,WiiU,2012,Platform,1.27
76,Super Mario Land 3: Wario Land,GB,1994,Platform,1.57
77,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,0.95
78,Donkey Kong Country 2: Diddys Kong Quest,SNES,1995,Platform,2.2
79,Tomodachi Life,3DS,2013,Simulation,1.89
80,Kirbys Dream Land,GB,1992,Platform,1.7
81,Super Mario Bros.,GB,1999,Platform,0.15
82,Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,0.8
83,Links Crossbow Training,Wii,2007,Shooter,0.29
84,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,1.54
85,Diddy Kong Racing,N64,1997,Racing,0.89
86,Dr. Mario,NES,1990,Puzzle,1.52
87,Animal Crossing: City Folk,Wii,2008,Simulation,1.32
88,The Legend of Zelda: A Link to the Past,SNES,1991,Action,1.15
89,The Legend of Zelda: The Wind Waker,GC,2002,Action,0.89
90,Luigis Mansion: Dark Moon,3DS,2013,Action,1.1
91,Splatoon,WiiU,2015,Shooter,1.44
