Rank	Name	Platform	Year	Genre	Sales
1	Wii Sports	Wii	2006	Sports	41.49
2	Super Mario Bros.	NES	1985	Platform	29.08
3	Mario Kart Wii	Wii	2008	Racing	15.85
4	Wii Sports Resort	Wii	2009	Sports	15.75
5	Pokemon Red/Pokemon Blue	GB	1996	Role-Playing	11.27
6	Tetris	GB	1989	Puzzle	23.2
7	New Super Mario Bros.	DS	2006	Platform	11.38
8	Wii Play	Wii	2006	Misc	14.03
9	New Super Mario Bros. Wii	Wii	2009	Platform	14.59
10	Duck Hunt	NES	1984	Shooter	26.93
11	Nintendogs	DS	2005	Simulation	9.07
12	Mario Kart DS	DS	2005	Racing	9.81
13	Pokemon Gold/Pokemon Silver	GB	1999	Role-Playing	9
14	Wii Fit	Wii	2007	Sports	8.94
15	Wii Fit Plus	Wii	2009	Sports	9.09
16	Super Mario World	SNES	1990	Platform	12.78
17	Brain Age: Train Your Brain in Minutes a Day	DS	2005	Misc	4.75
18	Pokemon Diamond/Pokemon Pearl	DS	2006	Role-Playing	6.42
19	Super Mario Land	GB	1989	Platform	10.83
20	Super Mario Bros. 3	NES	1988	Platform	9.54
21	Pokemon Ruby/Pokemon Sapphire	GBA	2002	Role-Playing	6.06
22	Pokemon Black/Pokemon White	DS	2010	Role-Playing	5.57
23	Brain Age 2: More Training in Minutes a Day	DS	2005	Puzzle	3.44
24	Pokemon Yellow: Special Pikachu Edition	GB	1998	Role-Playing	5.89
25	Pokemon X/Pokemon Y	3DS	2013	Role-Playing	5.17
26	Super Smash Bros. Brawl	Wii	2008	Fighting	6.75
27	Animal Crossing: Wild World	DS	2005	Simulation	2.55
28	Mario Kart 7	3DS	2011	Racing	4.74
29	Pokemon HeartGold/Pokemon SoulSilver	DS	2009	Action	4.4
30	Super Mario 64	N64	1996	Platform	6.91
31	Super Mario Galaxy	Wii	2007	Platform	6.16
32	Pokemon Omega Ruby/Pokemon Alpha Sapphire	3DS	2014	Role-Playing	4.23
33	Super Mario Land 2: 6 Golden Coins	GB	1992	Adventure	6.16
34	Super Mario 3D Land	3DS	2011	Platform	4.89
35	Super Mario All-Stars	SNES	1993	Platform	5.99
36	Pokemon FireRed/Pokemon LeafGreen	GBA	2004	Role-Playing	4.34
37	Super Mario 64	DS	2004	Platform	5.08
38	Mario Kart 64	N64	1996	Racing	5.55
39	New Super Mario Bros. 2	3DS	2012	Platform	3.66
